| # | App | Path:linha | Categoria | Conteúdo afetado | Gatilho | Severidade | Princípio violado | Remediação | Detalhe |
|---|-----|-----------|-----------|------------------|---------|------------|-------------------|------------|---------|
| R1 | redator-RC | [claude_service.py:869-873](app-redator/backend/services/claude_service.py:869) | T1+log | Overlay RC (texto legenda) | `len(novas_linhas) >= max_linhas` | CRÍTICA | 1 | (b) regenerar ou (c) alertar | §1.3, §3.4 |
| R2 | redator-RC | [claude_service.py:880](app-redator/backend/services/claude_service.py:880) | T2 | Overlay RC | `novas_linhas[:max_linhas]` defensivo | CRÍTICA | 1 | (a) remover slice, confiar no algoritmo acima | §1.3 |
| R3 | redator-BO | [claude_service.py:921, :928](app-redator/backend/services/claude_service.py:921) | T1+T2 **sem log** | Overlay BO (todos idiomas) | idem R1+R2, sem warning | CRÍTICA | 1 | idem R1+R2 + adicionar log mínimo | §1.5 |
| R4 | redator-RC | [claude_service.py:960](app-redator/backend/services/claude_service.py:960) | clamp | Duração de legendas RC | `min(7.0, ...)` | ALTA | (regra editorial 4-6) | (a) trocar para `min(6.0, ...)` | §2.2 |
| R5 | redator-RC | [claude_service.py:1009](app-redator/backend/services/claude_service.py:1009) | clamp | Duração compressão | idem | ALTA | editorial | idem R4 | §2.2 |
| R6 | shared | [storage_service.py:64](shared/storage_service.py:64) | T1 | Nome pasta R2 | `s[:200]` | MÉDIA | 1 | (c) levantar erro se nome > 200 | §4.3.6 |
| R7 | redator-ambas | [claude_service.py:659-729](app-redator/backend/services/claude_service.py:659) | T6 | **Todas as saídas LLM** | `max_tokens` atingido sem check `stop_reason` | **CRÍTICA** | 1, 4 | (b) detectar `stop_reason=="max_tokens"` e regenerar ou alertar | §2.5 |
| P1-Trans | redator-RC | [routers/translation.py:189](app-redator/backend/routers/translation.py:189) | hardcode | Regenerar tradução RC | `_enforce_line_breaks_rc(t_text, tipo, 33, lang=lang)` | CRÍTICA | (regra P1) | (a) remover hardcode 33 → usar default 38 | §1.2 #1 |
| P1-Doc | redator-RC | [translate_service.py:533](app-redator/backend/services/translate_service.py:533) | docstring | — | comentário "≤33 chars/linha" | ALTA (doc) | — | (a) atualizar para 38 | §1.2 #2 |
| Ed-MIG1 | editor | [main.py:363-370](app-editor/backend/app/main.py:363) | SQL migration | Perfil RC (DB) | startup editor | CRÍTICA | 1 | (a) remover migration ou versionar | §1.2 #3 |
| Ed-MIG2 | editor | [main.py:737-740](app-editor/backend/app/main.py:737) | SQL migration | Perfil RC (DB) | idem, segundo UPDATE | CRÍTICA | 1 | idem | §1.2 #4 |
| P1-Ed1 | editor | [legendas.py:109](app-editor/backend/app/services/legendas.py:109) | função | Overlay no editor | `quebrar_texto_overlay` executada em render | ALTA | 2 | (a) remover função + callsites | §1.6 |
| P1-Ed2 | editor | [legendas.py:134](app-editor/backend/app/services/legendas.py:134) | função+T2 | Overlay no editor | `_formatar_texto_legenda` | ALTA | 2 | (a) idem | §1.6 |
| P1-Ed3 | editor | [legendas.py:169](app-editor/backend/app/services/legendas.py:169) | função+T1 | Overlay no editor | `_formatar_overlay` com `_truncar_texto` | CRÍTICA | 2 | (a) remover + desabilitar callsite em render | §1.6 |
| P1-Ed4 | editor | [legendas.py:241-264](app-editor/backend/app/services/legendas.py:241) | T1+T13 | Overlay/lyrics/tradução no editor | `_truncar_texto` | CRÍTICA | 1, 2 | (a) remover função | §1.6 |
| P1-Ed5 | editor | [legendas.py:653](app-editor/backend/app/services/legendas.py:653) | T1 | **Lyrics** | `_truncar_texto(texto, lyrics_max)` | CRÍTICA | 1, 2 | (a) remover; lyrics já vêm pré-formatadas | §1.6 |
| P1-Ed6 | editor | [legendas.py:670](app-editor/backend/app/services/legendas.py:670) | T1 | **Tradução** | `_truncar_texto(texto_trad, traducao_max)` | CRÍTICA | 1, 2 | (a) remover | §1.6 |
| P1-UI1 | portal | [admin/marcas/nova/page.tsx:450-462](app-portal/app/(app)/admin/marcas/nova/page.tsx:450) | UI default | Config perfil | Defaults 50/25/40/60 | MÉDIA | 4 (UX) | (c) puxar defaults do backend ou remover UI | §1.4 |
| P1-UI2 | portal | [admin/marcas/[id]/page.tsx:618-630](app-portal/app/(app)/admin/marcas/[id]/page.tsx:618) | UI default | Config perfil | idem P1-UI1 | MÉDIA | 4 | idem | §1.4 |
