| P1-Doc | redator-RC | [translate_service.py:533](app-redator/backend/services/translate_service.py:533) | docstring | — | comentário "≤33 chars/linha" | ALTA (doc) | — | (a) atualizar para 38 | §1.2 #2 |
| P1-Ed1 | editor | [legendas.py:109](app-editor/backend/app/services/legendas.py:109) | função | Overlay no editor | `quebrar_texto_overlay` executada em render | ALTA | 2 | (a) remover função + callsites | §1.6 |
| P1-Ed2 | editor | [legendas.py:134](app-editor/backend/app/services/legendas.py:134) | função+T2 | Overlay no editor | `_formatar_texto_legenda` | ALTA | 2 | (a) idem | §1.6 |
| P2-PathA-1 | redator-BO | [claude_service.py:434-445](app-redator/backend/services/claude_service.py:434) | clamp | Duração Path A | `max(5.0, min(8.0, ...))` | ALTA | editorial | (a) alinhar com Path B (4-6) ou deprecar | §2.1 |
| P4-001 | redator-RC | [rc_automation_prompt.py:64-66](app-redator/backend/prompts/rc_automation_prompt.py:64) | T1+T13 | **Post aprovado** → prompt automation | `post_clean[:500] + "..."` | ALTA | 1, 4 | (b) regenerar prompt com post integral ou reduzir post | §4.3 redator-RC |
| P4-005 | redator-RC/BO | [hook_prompt.py:42](app-redator/backend/prompts/hook_prompt.py:42) | T1 | **Research aprovada** → prompt hooks | `json.dumps(...)[:3000]` | ALTA | 1, 4 | (b) revisar tamanho efetivo vs max_tokens; se truncamento sobra, alertar | §4.3 redator-RC |
| P4-006a | redator-RC | [generation.py:203](app-redator/backend/routers/generation.py:203) | T1 | Research → prompt regenerate | `json.dumps(...)[:2000]` | ALTA | idem | idem | §4.3 redator-RC |
| P4-006b | redator-RC | [generation.py:205](app-redator/backend/routers/generation.py:205) | T1 | idem string path | `research_data[:2000]` | ALTA | idem | idem | §4.3 redator-RC |
| P4-007a | redator-ambas | [translate_service.py:740](app-redator/backend/services/translate_service.py:740) | T1 | **Identity da marca** → prompt tradução | `identity[:500]` | ALTA | 1 | (b) pedir identity mais compacta ou passar íntegra | §4.3 |
| P4-007b | redator-ambas | [translate_service.py:743](app-redator/backend/services/translate_service.py:743) | T1 | **Tom da marca** → prompt tradução | `tom[:300]` | ALTA | 1 | idem | §4.3 |
| P4-007c | redator-ambas | [translate_service.py:752](app-redator/backend/services/translate_service.py:752) | T1 | **Research** → prompt tradução | `str(research_data)[:1500]` | ALTA | 1 | idem | §4.3 |
